4.49948    14.0787
4.49528    14.0108
4.4869    13.8756
4.47433    13.6745
4.4576    13.4094
4.43671    13.0827
4.4117    12.6976
4.38257    12.2576
4.34937    11.767
4.31212    11.2301
4.27086    10.652
4.22564    10.0379
4.17649    9.39317
4.12346    8.72363
4.06662    8.03505
4.006    7.33332
3.94168    6.6243
3.87372    5.91383
3.80218    5.20759
3.72714    4.51111
3.64866    3.82967
3.56683    3.1683
3.48173    2.53169
3.39343    1.92418
3.30204    1.34974
3.20763    0.811906
3.1103    0.313809
3.01015    -0.141873
2.90728    -0.552899
2.80179    -0.917489
2.69377    -1.2343
2.58335    -1.50243
2.47062    -1.72139
2.3557    -1.89109
2.2387    -2.01186
2.11974    -2.08435
1.99894    -2.10956
1.8764    -2.0888
1.75227    -2.02363
1.62665    -1.91589
1.49967    -1.7676
1.37146    -1.58097
1.24214    -1.35838
1.11185    -1.1023
0.980699    -0.8153
0.84883    -0.500017
0.716371    -0.159117
0.583451    0.204725
0.450202    0.588847
0.316756    0.990619
0.183244    1.40747
0.0497978    1.83688
-0.0834508    2.27645
-0.216371    2.72385
-0.34883    3.17686
-0.480699    3.63338
-0.611846    4.09143
-0.742143    4.54917
-0.87146    5.00488
-0.999672    5.45698
-1.12665    5.90401
-1.25227    6.34464
-1.3764    6.77769
-1.49894    7.2021
-1.61974    7.61692
-1.7387    8.02133
-1.8557    8.41461
-1.97062    8.79617
-2.08335    9.16549
-2.19377    9.52216
-2.30179    9.86587
-2.40728    10.1964
-2.51015    10.5135
-2.6103    10.8172
-2.70763    11.1073
-2.80204    11.3839
-2.89343    11.6471
-2.98173    11.897
-3.06683    12.1337
-3.14866    12.3573
-3.22714    12.5682
-3.30218    12.7664
-3.37372    12.9522
-3.44168    13.126
-3.506    13.2878
-3.56662    13.438
-3.62346    13.5769
-3.67649    13.7046
-3.72564    13.8214
-3.77086    13.9276
-3.81212    14.0234
-3.84937    14.109
-3.88257    14.1845
-3.9117    14.2502
-3.93671    14.3062
-3.9576    14.3527
-3.97433    14.3897
-3.9869    14.4174
-3.99528    14.4358
-3.99948    14.445
